7161,1BF9,D,MAA Police,Mid America Airport Law Ops ,Law Tac,St Clair County  Government  Countywide,3
7162,1BFA,D,Nrthwest FPD,Northwest Fire Protection District Belleville,Fire-Tac,St Clair County  FireEMS,3
7163,1BFB,D,MAA ArprtOps,Mid America Airport  Operations AIRPORT OPS,Public Works,St Clair County  Government  Countywide,3
7166,1BFE,D,SCC LawRoam2,St Clair County Law Roam 2,Law Tac,St Clair County  Law Enforcement,3
7168,1C00,D,SCC Ops 7168,St Clair County Operations,Public Works,St Clair County  Rural MunicipalitiesTownships,3
7171,1C03,D,StC Roam 5,St Clair County Roam 5 SC21 system roaming channel,Interop,St Clair County  Government  Countywide,3
7175,1C07,D,Cahok PD EBT,Cahokia Police Emergency Button Trigger,Law Tac,St Clair County  Law Enforcement,3
7176,1C08,D,SCC Law 7176,St Clair County Law Operations ,Law Tac,St Clair County  Law Enforcement,3
7178,1C0A,D,Cahok PD c2c,Cahokia Police CartoCar,Law Tac,St Clair County  Law Enforcement,3
7179,1C0B,D,Cahok FD c2c,Cahokia Fire CartoCar,Fire-Tac,St Clair County  FireEMS,3
7180,1C0C,D,SCC Law 7180,St Clair County Law Op Cahokia units,Law Tac,St Clair County  Law Enforcement,3
7181,1C0D,D,SCC Law 7181,St Clair County Law Tactical Operations Cahokia surrounding,Law Tac,St Clair County  Law Enforcement,3
7182,1C0E,D,SCC Law 7182,St Clair County Law Ops Cahokia units,Law Tac,St Clair County  Law Enforcement,3
7183,1C0F,D,CahokPD 7183,Cahokia Police CartoCar,Law Tac,St Clair County  Law Enforcement,3
7187,1C13,D,EStL PD Emer,East St Louis Police Emergency Button Trigger,Law Dispatch,St Clair County  Law Enforcement,3
7188,1C14,D,EStL Police1,East St Louis Police Dispatch 1,Law Dispatch,St Clair County  Law Enforcement,3
7189,1C15,D,EStLouisFire,East St Louis Fire Dispatch,Fire Dispatch,St Clair County  FireEMS,3
7190,1C16,D,EStL Police3,East St Louis Police CartoCarDispatch 3,Law Dispatch,St Clair County  Law Enforcement,3
7191,1C17,D,EStL Police4,East St Louis Police Operations,Law Tac,St Clair County  Law Enforcement,3
7192,1C18,D,EStL Det c2c,East St Louis Police Detectives  CartoCar,Law Tac,St Clair County  Law Enforcement,3
7195,1C1B,D,EStL Police4,East St Louis Police CartoCar,Law Tac,St Clair County  Law Enforcement,3
7199,1C1F,D,OFlln PD EBT,O Fallon Police Emergency Button Trigger ,Law Dispatch,St Clair County  Fairview Heights  O Fallon,1
